FMID,season,seasonOpenning,seasonClosing,seasonTime
1009867,"June - September","June "," September","Wed: 4:00 AM-8:00 PM;"
1006929,"June - October","June ",October,"Wed: 10:00 AM-2:00 PM;"
1000855,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1000127,"June - September","June "," September","Fri: 3:00 PM-7:00 PM;"
1012730,"April - December","April "," December","Tue: 4:00 PM-7:00 PM;"
1010505,"May - September","May "," September","Sat: 8:00 AM-1:00 PM;"
1012227,"May - October","May ",October,"Fri: 3:00 PM-6:00 PM;"
1010501,"June - November","June ",November,"Sun: 9:00 AM-2:00 PM;"
1001570,"June - October","June ",October,"Wed: 7:30 AM-1:00 PM;Thu: 12:00 PM-5:00 PM;Sat: 7:30 AM-1:00 PM;"
1010019,"January - December","January "," December","Fri: 3:00 PM-7:30 PM;"
1006207,"January - December","January "," December","Wed:8:00 am - 4:00 pm;"
1018124,"June - October","June ",October,"Sat: 9:00 AM-2:00 PM;"
1012783,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1006326,"May - October","May ",October,"Wed:9:00 am - 1:00 pm;"
1011540,"June - October","June ",October,"Sat: 8:00 AM-1:00 PM;"
1001660,"May - October","May ",October,"Thu: 3:00 PM-6:00 PM;"
1004777,"June - October","June ",October,"Sat: 8:30 AM-12:00 PM;"
1008798,"May - October","May ",October,"Sat: 9:00 AM-12:00 PM;"
1008799,"May - October","May ",October,"Thu: 3:00 PM-6:30 PM;"
1012160,"June - October","June ",October,"Sat: 9:00 AM-3:00 PM;"
1000003,"May - October","May ",October,"Tue: 3:00 PM-6:30 PM;Fri: 8:00 AM-1:00 PM;"
1001298,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1019118,"May - October","May ",October,"Fri: 9:00 AM-1:00 PM;"
1012067,"May - February","May "," February","Sat: 10:00 AM-2:00 PM;"
1012133,"June - October","June ",October,"Sat: 12:00 PM-3:00 PM;"
1012664,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1003777,"June - September","June "," September","Thu: 8:00 AM-12:00 PM;"
1011612,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1012369,"June - October","June ",October,"Tue: 9:00 AM-1:00 PM;"
1011609,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011618,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011619,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011622,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011623,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011625,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011627,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011629,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011631,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011633,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011635,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011636,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011638,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011641,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011642,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011643,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011644,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011646,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011649,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011650,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011608,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011617,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011621,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011626,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011628,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011634,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011640,"June - December","June "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011647,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011648,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1011651,"January - December","January "," December","Fri: 7:00 AM-1:00 PM;Sat: 7:00 AM-1:00 PM;"
1018716,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1003582,"June - September","June "," September","Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;"
1004790,"June - October","June ",October,"Sun: 10:00 AM-1:00 PM;"
1012294,"April - October","April ",October,"Sat: 8:00 AM-1:00 PM;"
1004049,"May - ","May "," ","Sat: 8:00 AM-;"
1005446,"May - October","May ",October,"Thu: 8:00 AM-12:30 PM;"
1008541,"April - September","April "," September","Sat: 8:00 AM-12:00 PM;"
1012634,"May - October","May ",October,"Fri: 4:00 PM-6:00 PM;"
1004805,"June - October","June ",October,"Fri: 4:00 PM-7:00 PM;"
1010508,"June - September","June "," September","Thu: 7:00 AM-1:00 PM;"
1000022,"January - December","January "," December","Sat:9:00 AM - 1:00 PM;"
1006759,"May - October","May ",October,"Fri: 3:00 PM-6:00 PM;"
1006377,"June - September","June "," September","Sat: 8:00 AM-1:00 PM;"
1001388,"May - October","May ",October,"Fri: 9:00 AM-1:00 PM;"
1003711,"January - December","January "," December","Sat:8:00 AM - 12:00 PM;"
1011922,"June - October","June ",October,"Sat: 7:30 AM-1:00 PM;"
1003303,"June - September","June "," September","Fri:11:00 AM - 6:00 PM;"
1006151,June,"June ",,"Fri: 8:00 AM-12:00 PM;"
1004603,"June - October","June ",October,"Sat:9:00 am - 3:00 pm;"
1002009,"April - October","April ",October,"Sat: 9:00 AM-12:00 PM;"
1003120,"May - October","May ",October,"Sat: 9:00 AM-12:00 PM;"
1000179,"July - October","July ",October,"Sat:8:00 am - 12:00 pm;"
1004263,"May - October","May ",October,"Sat: 8:00 AM-2:00 PM;"
1003732,"June - October","June ",October,"Sat: 9:00 AM-11:00 AM;"
1004362,"May - October","May ",October,"sun:10:00 AM - 2:00 PM;"
1010343,"June - September","June "," September","Sat: 8:00 AM-12:00 PM;"
1018900,"May - October","May ",October,"Sat: 9:00 AM-12:00 PM;"
1009045,"June - October","June ",October,"Tue: 5:00 PM-7:00 PM;"
1006809,"July - September","July "," September","Tue: 3:00 PM-6:30 PM;"
1003827,"June - October","June ",October,"Mon:2:00 PM - 5:30 PM;Thu:2:00 PM - 5:30 PM;"
1003828,"May - October","May ",October,"Sat: 9:30 AM-12:30 PM;"
1005709,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1018717,"June - October","June ",October,"Sat: 9:30 AM-12:30 PM;"
1000089,"June - November","June ",November,"Tue: 8:00 AM-4:00 PM;"
1001666,"July - November","July ",November,"Thu:10:00 AM - 6:00 PM;"
1003826,"May - November","May ",November,"Sat: 8:00 AM-1:00 PM;"
1000108,"November - March","November "," March","Sat:9:00 AM - 12:00 PM;"
1008449,"May - September","May "," September","Tue: 5:00 PM-7:00 PM;"
1000107,"November - April","November "," April","Sat:9:00 AM - 12:00 PM;"
1018309,"August - September",August," September","Sat: 10:00 AM-2:00 PM;"
1018580,"June - September","June "," September","Fri: 3:00 PM-7:00 PM;"
1002657,"December - December","December "," December","Sun: 10:00 AM-12:00 PM;"
1004268,"April - October","April ",October,"Wed:3:00 PM - 7:00 PM;Sat:9:00 AM - 1:00 PM;"
1007710,"June - September","June "," September","Fri: 3:00 AM-6:30 AM;"
1012567,"January - December","January "," December","Tue: 11:00 AM-3:00 PM;"
1002769,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1019398,"January - December","January "," December","Sat: 10:00 AM-3:00 PM;"
1004226,"May - October","May ",October,"Wed:10:00 AM - 2:00 PM;Fri:10:00 AM - 2:00 PM;"
1005377,"January - December","January "," December","Mon:6:00 AM - 7:00 PM;Tue:6:00 AM - 7:00 PM;Wed:6:00 AM - 7:00 PM;Thu:6:00 AM - 7:00 PM;Fri:6:00 AM - 7:00 PM;Sat:6:00 AM - 7:00 PM;sun:6:00 AM - 7:00 PM;"
1004719,"June - October","June ",October,"Wed: 5:00 PM-7:00 PM;"
1012688,"January - December","January "," December","Wed: 4:00 PM-7:00 PM;"
1012045,"January - December","January "," December","Sun: 8:00 AM-1:00 PM;"
1005397,"May - October","May ",October,"Sat:10:00 am - 1:00 pm;"
1018940,"July - September","July "," September","Sat: 9:00 AM-12:00 PM;"
1003959,"June - September","June "," September","Sat:9:00 am - 1:00 pm;"
1006237,"January - December","January "," December","Sat:8:00 am - 5:00 pm;sun:8:00 am - 5:00 pm;"
1012313,"June - September","June "," September","Mon: 4:30 PM-6:30 PM;"
1018765,"April - October","April ",October,"Sat: 8:00 AM-1:00 PM;"
1000175,"November - March","November "," March","Sat: 10:00 AM-12:00 PM;"
1011072,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;Sat: 9:00 AM-1:00 PM;"
1009946,"January - December","January "," December","Tue: 7:00 AM-11:00 AM;Thu: 7:00 AM-11:00 AM;Sat: 7:00 AM-11:00 AM;"
1005622,"May - October","May ",October,"Sat:8:00 am - 1:00 pm;"
1004525,"May - October","May ",October,"Sat:8:30 AM - 1:00 PM;"
1003124,"May - October","May ",October,"Sat:9:00 AM - 1:00 PM;"
1011260,"June - September","June "," September","Sat: 9:00 AM-11:00 AM;"
1002302,"January - December","January "," December","Tue:2:30 AM - 6:00 PM;"
1006678,"July - September","July "," September","Fri: 2:00 PM-7:00 PM;"
1009864,"June - October","June ",October,"Sat: 9:00 AM-12:00 PM;"
1003568,"May - September","May "," September","Sat: 11:00 AM-3:00 PM;"
1000494,"April - October","April ",October,"Tue:10:00 AM - 6:00 PM;Wed:10:00 AM - 6:00 PM;Thu:10:00 AM - 6:00 PM;Fri:10:00 AM - 6:00 PM;Sat:10:00 AM - 6:00 PM;"
1005682,"June - October","June ",October,"Thu: 5:00 PM-;Sat: 8:00 AM-;"
1012809,"September - April","September "," April","Sat: 10:00 AM-1:00 PM;"
1011981,"June - October","June ",October,"Fri: 3:00 PM-6:30 PM;"
1018428,"June - October","June ",October,"Tue: 4:00 PM-6:30 PM;"
1010933,"January - December","January "," December","Sat: 9:00 AM-12:00 PM;"
1006618,"May - August","May "," August","Sat: 8:00 AM-12:00 PM;"
1012315,"May - September","May "," September","Wed: 4:00 PM-6:00 PM;"
1006135,"August - September",August," September","Thu:4:00 PM - 6:00 PM;"
1018509,"April - October","April ",October,"Thu: 3:30 PM-7:00 PM;"
1000410,"December - April","December "," April","Thu: 9:00 AM-12:00 PM;"
1008261,"March - October","March ",October,"Thu: 4:30 PM-7:00 PM;"
1002729,"May - October","May ",October,"Wed: 2:30 PM-5:30 PM;"
1003809,"May - October","May ",October,"Sat:9:00 AM - 1:00 PM;"
1010195,"June - October","June ",October,"Sat: 9:00 AM-1:00 PM;"
1005710,"June - October","June ",October,"Thu: 3:00 PM-6:00 PM;"
1010418,"June - October","June ",October,"Wed: 2:00 PM-6:00 PM;"
1003357,"May - October","May ",October,"Sun: 11:00 AM-4:00 PM;"
1001957,"June - September","June "," September","Tue: 10:00 AM-2:00 PM;"
1011432,"January - December","January "," December","Wed: 9:00 AM-1:00 PM;Sun: 9:00 AM-1:00 PM;"
1003241,"June - October","June ",October,"Thu:7:00 am - 1:00 pm;"
1005267,"January - December","January "," December","Fri: 9:00 AM-10:00 AM;"
1004422,"May - October","May ",October,"Thu:2:00 PM - 6:00 PM;"
1007798,"May - October","May ",October,"Thu: 2:30 PM-6:00 PM;"
1002239,"June - September","June "," September","Wed:3:00 PM - 6:00 PM;"
1002247,"June - September","June "," September","Fri:5:00 PM - 6:30 PM;"
1004875,"May - October","May ",October,"Tue: 4:00 PM-7:00 PM;"
1012801,"April - October","April ",October,"Tue: 4:30 PM-7:00 PM;"
1001549,"April - September","April "," September","Wed: 3:00 PM-6:30 PM;"
1019081,"June - October","June ",October,"Thu: 3:00 AM-6:00 PM;"
1000199,"June - September","June "," September","Mon: 4:00 PM-8:00 PM;"
1012685,"June - August","June "," August","Fri: 4:00 PM-7:00 PM;"
1019186,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1018622,"May - September","May "," September","Wed: 4:00 PM-8:00 PM;"
1011456,"April - October","April ",October,"Thu: 3:00 PM-7:00 PM;"
1004130,"June - October","June ",October,"Wed: 3:00 PM-6:00 PM;"
1003003,"May - May","May "," May","Wed: 2:00 AM-6:00 PM;Sat: 9:30 AM-1:30 PM;"
1002518,"June - October","June ",October,"Sun: 1:00 PM-4:00 PM;"
1002517,"October - December","October "," December","sun:1:00 PM - 4:00 PM;"
1000051,"May - July","May "," July","Thu:3:00 PM - 6:00 PM;"
1019049,"May - ","May "," ","Sat: 8:00 AM-11:00 AM;"
1010944,"April - November","April ",November,"Sun: 9:00 AM-1:00 PM;"
1012237,"June - October","June ",October,"Tue: 4:00 PM-6:00 PM;"
1012242,"June - October","June ",October,"Thu: 4:00 PM-6:00 PM;"
1005320,"June - November","June ",November,"Thu: 3:00 PM-7:00 PM;"
1001296,"May - November","May ",November,"Sat: 7:00 AM-12:00 PM;"
1006251,"July - September","July "," September","sun:12:00 PM - 2:00 PM;"
1002043,"April - October","April ",October,"Thu: 4:00 PM-8:00 PM;"
1018562,"May - October","May ",October,"Tue: 3:00 PM-7:00 PM;"
1010667,"February - February","February "," February","Sat: 10:00 AM-2:00 PM;"
1011719,December,"December ",,"Sat: 10:00 AM-2:00 PM;"
1010668,"March - ","March "," ","Sat: 9:00 AM-1:00 PM;"
1011720,January,"January ",,"Sun: 10:00 AM-2:00 PM;"
1011721,"March - ","March "," ","Sat: 9:00 AM-1:00 PM;"
1011725,"February - ","February "," ","Sun: 10:00 AM-2:00 PM;"
1010670,March,"March ",,"Sun: 10:00 AM-2:00 PM;"
1011724,"November - ","November "," ","Sun: 10:00 AM-2:00 PM;"
1010671,"March - ","March "," ","Sat: 9:00 AM-1:00 PM;"
1011723,November,"November ",,"Sat: 9:00 AM-1:00 PM;"
1011726,January,"January ",,"Sat: 9:00 AM-1:00 PM;"
1011722,November,"November ",,"Sat: 9:00 AM-1:00 PM;"
1010666,February,"February ",,"Sat: 9:00 AM-1:00 PM;"
1010664,"January - ","January "," ","Sat: 9:00 AM-1:00 PM;"
1011727,"January - January","January ",January,"Sat: 9:00 AM-1:00 PM;"
1010665,February,"February ",,"Sun: 9:30 AM-1:30 PM;"
1011218,"July - September","July "," September","Thu: 3:00 PM-7:00 PM;"
1011905,"June - October","June ",October,"Sat: 9:00 AM-2:00 PM;"
1011342,"June - September","June "," September","Tue: 3:30 PM-6:30 PM;"
1003364,"January - December","January "," December","Mon: 10:00 AM-2:00 PM;Tue: 10:00 AM-2:00 PM;Wed: 10:00 AM-2:00 PM;Thu: 10:00 AM-2:00 PM;Fri: 10:00 AM-2:00 PM;"
1019457,"September - October","September ",October,"Thu: 4:00 PM-7:00 PM;"
1010174,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1010889,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1009761,"May - ","May "," ","Wed: 12:00 PM-4:00 PM;"
1018715,"May - October","May ",October,"Thu: 12:00 PM-6:00 PM;"
1008076,"May - October","May ",October,"Fri: 3:00 PM-6:00 PM;"
1010059,"June - August","June "," August","Thu: 4:00 PM-7:00 PM;"
1009026,"May - October","May ",October,"Fri: 4:00 PM-7:00 PM;"
1010879,"June - September","June "," September","Mon: 2:00 PM-4:30 PM;"
1019499,"June - September","June "," September","Wed: 3:30 PM-5:00 PM;"
1010878,"June - October","June ",October,"Thu: 2:00 PM-5:30 PM;"
1011052,"June - November","June ",November,"Thu: 3:00 PM-8:00 PM;"
1010138,"May - October","May ",October,"Wed: 4:00 PM-7:00 PM;"
1012724,"June - October","June ",October,"Fri: 4:00 PM-6:30 PM;"
1008078,"January - December","January "," December","Sun: 9:00 AM-2:00 PM;"
1004024,"November - May","November "," May","sun:10:00 AM - 2:00 PM;"
1000173,"June - October","June ",October,"Thu: 3:00 PM-7:00 PM;"
1006075,"May - October","May ",October,"Thu: 2:30 PM-6:30 PM;"
1002522,"April - November","April ",November,"Sat: 8:00 AM-12:00 PM;"
1008941,"May - October","May ",October,"Sat: 9:00 AM-2:00 PM;"
1003097,"May - October","May ",October,"Fri: 9:00 AM-3:00 PM;"
1019523,"January - December","January "," December","Wed: 8:30 AM-1:00 PM;Sat: 8:30 AM-1:00 PM;"
1018937,"May - September","May "," September","Sat: 5:00 PM-8:00 PM;"
1019436,"June - September","June "," September","Tue: 3:00 PM-6:00 PM;"
1010148,May,"May ",,"Fri: 3:00 PM-6:30 PM;"
1012521,"May - September","May "," September","Wed: 3:00 PM-7:00 PM;"
1018358,"January - January","January ",January,"Tue: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;"
1011715,"July - October","July ",October,"Mon: 3:30 PM-6:30 PM;Thu: 3:30 PM-6:30 PM;"
1001282,"May - September","May "," September","Sat: 9:00 AM-11:00 AM;"
1011178,"January - December","January "," December","Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;"
1008723,"January - December","January "," December","Thu: 11:00 AM-2:00 PM;"
1008278,"June - September","June "," September","Wed: 2:00 PM-5:30 PM;"
1019497,"May - August","May "," August","Thu: 9:00 AM-1:00 PM;"
1006224,"May - October","May ",October,"Thu:11:00 am - 2:00 pm;"
1005045,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1003585,"June - December","June "," December","Wed: 11:00 AM-7:30 PM;Fri: 11:00 AM-7:30 PM;"
1010447,"June - November","June ",November,"Sun: 10:00 AM-3:00 PM;"
1008265,"May - October","May ",October,"Sat: 11:00 AM-4:00 PM;Sun: 11:00 AM-4:00 PM;"
1012606,"May - October","May ",October,"Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;"
1010202,"July - September","July "," September","Wed: 2:00 PM-6:00 PM;"
1018131,"May - September","May "," September","Wed: 3:00 PM-7:00 PM;"
1005811,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1019459,"July - September","July "," September","Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;"
1006923,"May - October","May ",October,"Tue: 3:00 PM-6:00 PM;Thu: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;"
1011262,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1002459,"May - October","May ",October,"Sat:7:30 am - 10:30 am;"
1005069,"October - December","October "," December","Thu: 2:00 PM-7:00 PM;"
1005159,"January - December","January "," December","Sat: 8:00 AM-1:00 PM;"
1011817,"June - September","June "," September","Sat: 9:00 AM-2:00 PM;"
1010320,"January - December","January "," December","Sun: 8:00 AM-12:00 PM;"
1001778,"May - October","May ",October,"Thu:4:30 PM - 7:00 PM;"
1011157,"April - October","April ",October,"Tue: 4:30 PM-7:00 PM;Sat: 8:00 AM-1:00 PM;"
1017914,"May - October","May ",October,"Mon: 4:00 PM-6:00 PM;Thu: 4:00 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;"
1010166,"October - November","October ",November,"Sat: 9:00 AM-12:00 PM;"
1018181,"July - September","July "," September","Thu: 10:00 AM-3:00 PM;"
1018910,"May - October","May ",October,"Wed: 3:00 PM-7:00 PM;"
1010456,"May - October","May ",October,"Fri: 5:00 PM-9:00 PM;"
1018427,"June - October","June ",October,"Wed: 4:30 PM-6:30 PM;"
1005655,"May - October","May ",October,"Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;"
1011676,"May - October","May ",October,"Sun: 9:00 AM-12:00 PM;"
1001646,"May - October","May ",October,"Tue:12:30 PM - 6:00 PM;"
1016870,"December - December","December "," December","Sun: 9:00 AM-2:00 PM;"
1012083,"June - November","June ",November,"Tue: 12:00 PM-6:00 PM;"
1006812,"May - November","May ",November,"Tue: 2:00 PM-6:00 PM;"
1010823,"November - November","November ",November,"Tue: 8:00 AM-1:00 PM;"
1004476,"July - October","July ",October,"Fri:10:00 AM - 1:00 PM;"
1004137,"April - October","April ",October,"Wed: 1:00 PM-5:00 PM;"
1001585,"June - October","June ",October,"Tue: 11:00 AM-1:30 PM;"
1000256,"May - October","May ",October,"Sat:8:00 am - 1:00 pm;"
1011395,"May - October","May ",October,"Sat: 7:00 AM-12:00 PM;"
1005486,"May - October","May ",October,"Thu:4:00 PM - 7:00 PM;"
1004129,"May - October","May ",October,"Wed: 4:00 PM-6:30 PM;"
1012178,"June - September","June "," September","Wed: 3:00 PM-8:00 PM;"
1019288,"April - October","April ",October,"Thu: 3:00 PM-5:30 PM;"
1000141,"June - August","June "," August","Thu: 5:00 PM-8:30 PM;"
1011209,"May - November","May ",November,"Sun: 10:00 AM-3:00 PM;"
1005124,"May - November","May ",November,"Sat: 9:00 AM-2:00 PM;"
1001405,"April - October","April ",October,"Sat: 7:00 AM-12:00 PM;"
1004131,"June - September","June "," September","Fri: 3:30 PM-6:30 PM;"
1005213,"April - September","April "," September","Sat: 8:00 AM-12:00 PM;"
1004806,"June - October","June ",October,"Tue: 4:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;"
1011018,"May - November","May ",November,"Sun: 11:00 AM-2:00 PM;"
1002331,"June - October","June ",October,"sun:9:00 AM - 1:00 PM;"
1010554,"January - December","January "," December","Fri: 8:00 AM-6:00 PM;Sat: 8:00 AM-3:00 PM;"
1012107,"April - October","April ",October,"Sat: 9:00 AM-1:00 PM;"
1004715,"June - September","June "," September","Fri: 4:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;"
1001187,"June - October","June ",October,"Tue: 3:00 PM-6:00 PM;"
1018871,"April - September","April "," September","Tue: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;"
1018996,"May - September","May "," September","Wed: 3:00 PM-6:00 PM;Sat: 8:30 AM-12:00 PM;"
1001188,"May - November","May ",November,"Sat: 7:30 AM-11:30 AM;"
1018740,"May - October","May ",October,"Sun: 9:00 AM-12:00 PM;"
1012061,"November - November","November ",November,"Sat: 7:00 AM-2:00 PM;"
1011668,"November - April","November "," April","Thu: 12:00 PM-3:00 PM;"
1010830,"February - April","February "," April","Sat: 10:00 AM-2:00 PM;"
1012627,"April - November","April ",November,"Tue: 4:00 AM-6:00 PM;"
1011729,"October - December","October "," December","Sat: 1:30 PM-4:00 PM;"
1005743,"May - October","May ",October,"Sat: 9:00 AM-3:00 PM;"
1010139,"July - September","July "," September","Wed: 11:00 AM-3:00 PM;"
1003000,"May - May","May "," May","Mon:12:00 PM - 4:00 PM;"
1002721,"May - October","May ",October,"Tue: 2:30 PM-6:30 PM;"
1010518,"January - March","January "," March","Mon: 9:00 AM-1:00 PM;"
1018973,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1011914,"January - December","January "," December","Sat: 8:00 AM-1:00 PM;"
1008226,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1008868,"June - August","June "," August","Thu: 4:00 PM-8:00 PM;"
1018096,"January - December","January "," December","Tue: 10:00 AM-2:00 PM;Thu: 10:00 AM-2:00 PM;Sat: 8:00 AM-2:00 PM;"
1018855,"April - October","April ",October,"Tue: 7:00 AM-2:00 PM;Thu: 7:00 AM-2:00 PM;Sat: 7:00 AM-2:00 PM;"
1012308,"July - October","July ",October,"Wed: 3:00 PM-5:00 PM;Sat: 10:00 AM-2:00 PM;"
1007239,"June - October","June ",October,"Sun: 8:00 AM-2:00 PM;"
1012142,"June - September","June "," September","Sat: 3:00 PM-7:00 PM;"
1010224,"May - October","May ",October,"Sun: 9:00 AM-1:00 PM;"
1018193,"June - October","June ",October,"Sat: 10:00 AM-1:00 PM;"
1010317,"June - August","June "," August","Sat: 9:00 AM-12:00 PM;"
1008135,"January - December","January "," December","Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 8:00 AM-6:00 PM;Sun: 10:00 AM-4:00 PM;"
1003146,"June - October","June ",October,"Thu: 9:00 AM-3:00 PM;"
1008116,"June - September","June "," September","Wed: 4:00 PM-7:00 PM;"
1004793,"July - September","July "," September","Sat: 1:00 PM-4:00 PM;"
1004377,"June - October","June ",October,"Wed: 9:30 AM-1:30 PM;"
1002035,"May - October","May ",October,"Sun: 9:00 AM-1:00 PM;"
1000748,"June - September","June "," September","Sat:8:00 AM - 12:00 PM;"
1005413,"May - October","May ",October,"Thu: 3:00 PM-6:00 PM;"
1005297,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1000048,"January - December","January "," December","Mon:10:00 AM - 4:00 PM;Tue:10:00 AM - 4:00 PM;Wed:10:00 AM - 4:00 PM;Thu:10:00 AM - 4:00 PM;Fri:10:00 AM - 4:00 PM;Sat:10:00 AM - 4:00 PM;"
1003782,"June - October","June ",October,"Sat: 9:00 AM-2:00 PM;"
1001752,"January - December","January "," December","Thu: 11:00 AM-7:00 PM;Fri: 11:00 AM-7:00 PM;Sat: 9:00 AM-5:00 PM;Sun: 10:00 AM-3:00 PM;"
1009723,"May - December","May "," December","Tue: 10:00 AM-6:00 PM;Wed: 10:00 AM-6:00 PM;Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 10:00 AM-6:00 PM;Sun: 12:00 PM-6:00 PM;"
1012843,"May - October","May ",October,"Sun: 8:00 AM-12:00 PM;"
1003846,"July - October","July ",October,"Sat:10:00 AM - 2:00 PM;"
1010437,"May - December","May "," December","Mon: 9:00 AM-6:00 PM;Tue: 9:00 AM-6:00 PM;Wed: 9:00 AM-6:00 PM;Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 10:00 AM-4:00 PM;"
1018860,"January - December","January "," December","Sat: 9:00 AM-5:00 PM;Sun: 9:00 AM-5:00 PM;"
1004709,"May - October","May ",October,"Sat: 9:00 AM-1:30 PM;"
1003116,"June - October","June ",October,"Thu: 8:00 AM-1:00 PM;"
1008244,"June - September","June "," September","Sun: 10:00 AM-3:00 PM;"
1012451,"June - October","June ",October,"Tue: 10:00 AM-4:00 PM;"
1005082,"June - October","June ",October,"Fri: 8:00 AM-1:00 PM;"
1019293,"April - September","April "," September","Sat: 9:00 AM-1:00 PM;"
1018413,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1019196,"June - October","June ",October,"Sat: 8:00 AM-1:00 PM;"
1003222,"April - October","April ",October,"Tue: 2:00 PM-6:00 PM;"
1003648,"May - September","May "," September","Thu:5:00 PM - 8:00 PM;"
1003649,"May - September","May "," September","Thu:4:00 PM - 7:00 PM;"
